Agency Name,County,Item Name,Quantity,Unit Cost,Ship Date
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,2/9/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/7/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/7/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/25/06
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,BURLINGTON,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/22/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,5/19/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,9/29/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,9/29/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,9/29/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,9/29/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,11/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,11/15/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,6/12/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CAMDEN                   ,M-16 ASSAULT RIFLE,1,499.00,7/6/06
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,CUMBERLAND               ,M-16 ASSAULT RIFLE,1,499.00,10/2/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,11/28/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,10/1/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,9/30/08
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,ESSEX,M-16 ASSAULT RIFLE,1,499.00,7/7/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,6/16/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,1/11/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,1/11/06
UNDISCLOSED BY DLA,HUDSON                   ,M-16 ASSAULT RIFLE,1,499.00,1/11/06
